1262|share|house|363.37143926696086|woden_Valley|-35.25991649725816|149.15510252995907|TBD|4|2|1|2608|unilodge|true
1387|sale|duplex|514834.2354118924|jerrabomberra|-35.329039432121725|149.16906016693693|TBD|1|2|1|2617|action_advantage|false
1384|rent|house|167.9314154182468|majura|-35.24965527478576|149.13258249406965|TBD|5|2|0|2614|lj_hooker|true
1756|auction|flat|864353.8636303627|weston_Creek|-35.29809496768242|149.1416772111652|TBD|2|2|0|2602|smart_home_creation|true
1194|share|flat|265.47037248137616|gungahlin|-35.30189045065426|149.0965495894694|TBD|3|2|0|2625|bolton|true
1840|auction|townhouse|150773.01673302584|woden_Valley|-35.30476961568096|149.14363485866036|TBD|1|2|1|2600|uniGardens|true
1989|auction|unit|755590.312885215|molonglo_Valley|-35.29957246063556|149.1752619865137|TBD|2|1|0|2613|bolton|true
1790|auction|flat|513946.5174853672|majura|-35.30379079916736|149.10072961982954|TBD|3|2|0|2609|mountain|true
1242|rent|house|663.3725768030508|majura|-35.2545790316909|149.08715919602824|TBD|5|1|0|2627|jada|true
1412|rent|duplex|288.8575306735822|tuggeranong|-35.25038104733476|149.17214628318072|TBD|2|1|0|2604|uniGardens|false
1394|share|townhouse|657.0442778602071|weston_Creek|-35.31831915662311|149.15356797917792|TBD|4|2|0|2607|mangolilly|false
1573|sale|duplex|841406.8266781435|jerrabomberra|-35.2388958700507|149.11870857783327|TBD|4|2|0|2621|above|true
1679|share|unit|165.78096434351664|gungahlin|-35.32777583741911|149.14764443674483|TBD|4|1|1|2612|veriton|true
1926|share|apartment|660.3979713362644|weston_Creek|-35.32836295003199|149.14624169753233|TBD|2|2|1|2610|unilodge|false
1228|rent|house|173.6110680308645|gungahlin|-35.30827240684258|149.1292428107761|TBD|4|2|0|2602|harcourts|false
1602|sale|apartment|202028.29717907187|woden_Valley|-35.25966143263258|149.08064673388995|TBD|1|2|1|2619|rayWhite|true
1697|sale|duplex|137848.3501903232|majura|-35.31958794740714|149.15900292219197|TBD|5|1|0|2605|veriton|true
1567|share|unit|219.5101187134664|woden_Valley|-35.30203471020731|149.10078745222555|TBD|4|1|1|2623|above|true
1901|sale|unit|297554.35516135837|belconnen|-35.28514197972765|149.08948234725636|TBD|5|2|0|2602|mangolilly|true
1382|sale|flat|901977.4938096576|woden_Valley|-35.294058077344395|149.16085284398824|TBD|5|2|0|2600|mangolilly|true
1025|auction|flat|379185.893222906|tuggeranong|-35.30884468776187|149.097986430879|TBD|4|1|1|2629|smart_home_creation|true
1848|sale|flat|535981.6988184226|belconnen|-35.24835892329305|149.11887986156827|TBD|3|1|0|2613|uniGardens|true
1948|share|house|155.88180829189466|weston_Creek|-35.296347293846914|149.16334655708343|TBD|5|1|1|2620|bolton|false
1678|share|duplex|254.73739172228048|jerrabomberra|-35.30037366534102|149.13912604728176|TBD|2|1|1|2608|luton|true
1084|share|house|421.4351645043628|woden_Valley|-35.290582830503375|149.11691270078214|TBD|1|1|1|2613|uniGardens|true
